[15:13:06][jominiapplication.cpp:539]: Processing Tick: 1869.12.22.12
[15:13:06][jominiapplication.cpp:539]: Processing Tick: 1869.12.22.18
[15:13:07][jominiapplication.cpp:539]: Processing Tick: 1869.12.23
[15:13:07][jominiapplication.cpp:539]: Processing Tick: 1869.12.23.6
[15:13:07][jominiapplication.cpp:539]: Processing Tick: 1869.12.23.12
[15:13:07][jominiapplication.cpp:539]: Processing Tick: 1869.12.23.18
[15:13:08][jominiapplication.cpp:539]: Processing Tick: 1869.12.24
[15:13:09][jominiapplication.cpp:539]: Processing Tick: 1869.12.24.6
[15:13:09][jominiapplication.cpp:539]: Processing Tick: 1869.12.24.12
[15:13:10][jominiapplication.cpp:539]: Processing Tick: 1869.12.24.18
[15:13:10][jominiapplication.cpp:539]: Processing Tick: 1869.12.25
[15:13:10][jominiapplication.cpp:539]: Processing Tick: 1869.12.25.6
[15:13:10][jominiapplication.cpp:539]: Processing Tick: 1869.12.25.12
[15:13:11][jominiapplication.cpp:539]: Processing Tick: 1869.12.25.18
[15:13:11][jominiapplication.cpp:539]: Processing Tick: 1869.12.26
[15:13:11][jominiapplication.cpp:539]: Processing Tick: 1869.12.26.6
[15:13:11][jominiapplication.cpp:539]: Processing Tick: 1869.12.26.12
[15:13:12][jominiapplication.cpp:539]: Processing Tick: 1869.12.26.18
[15:13:12][jominiapplication.cpp:539]: Processing Tick: 1869.12.27
[15:13:13][jominiapplication.cpp:539]: Processing Tick: 1869.12.27.6
[15:13:13][jominiapplication.cpp:539]: Processing Tick: 1869.12.27.12
[15:13:13][jominiapplication.cpp:539]: Processing Tick: 1869.12.27.18
[15:13:13][jominiapplication.cpp:539]: Processing Tick: 1869.12.28
[15:13:13][jominiapplication.cpp:539]: Processing Tick: 1869.12.28.6
[15:13:14][jominiapplication.cpp:539]: Processing Tick: 1869.12.28.12
[15:13:14][jominiapplication.cpp:539]: Processing Tick: 1869.12.28.18
[15:13:14][jominiapplication.cpp:539]: Processing Tick: 1869.12.29
[15:13:14][jominiapplication.cpp:539]: Processing Tick: 1869.12.29.6
[15:13:15][jominiapplication.cpp:539]: Processing Tick: 1869.12.29.12
[15:13:15][jominiapplication.cpp:539]: Processing Tick: 1869.12.29.18
[15:13:15][jominiapplication.cpp:539]: Processing Tick: 1869.12.30
[15:13:16][jominiapplication.cpp:539]: Processing Tick: 1869.12.30.6
[15:13:16][jominiapplication.cpp:539]: Processing Tick: 1869.12.30.12
[15:13:16][jominiapplication.cpp:539]: Processing Tick: 1869.12.30.18
[15:13:17][jominiapplication.cpp:539]: Processing Tick: 1869.12.31
[15:13:17][jominiapplication.cpp:539]: Processing Tick: 1869.12.31.6
[15:13:18][jominiapplication.cpp:539]: Processing Tick: 1869.12.31.12
[15:13:18][jominiapplication.cpp:539]: Processing Tick: 1869.12.31.18
[15:13:18][jominiapplication.cpp:539]: Processing Tick: 1870.1.1
[15:13:20][jominiapplication.cpp:539]: Processing Tick: 1870.1.1.6
[15:13:20][jominiapplication.cpp:539]: Processing Tick: 1870.1.1.12
[15:13:20][jominiapplication.cpp:539]: Processing Tick: 1870.1.1.18
[15:13:21][jominiapplication.cpp:539]: Processing Tick: 1870.1.2
[15:13:21][jominiapplication.cpp:539]: Processing Tick: 1870.1.2.6
[15:13:21][jominiapplication.cpp:539]: Processing Tick: 1870.1.2.12
[15:13:22][jominiapplication.cpp:539]: Processing Tick: 1870.1.2.18
[15:13:22][jominiapplication.cpp:539]: Processing Tick: 1870.1.3
[15:13:22][jominiapplication.cpp:539]: Processing Tick: 1870.1.3.6
[15:13:22][jominiapplication.cpp:539]: Processing Tick: 1870.1.3.12
[15:13:23][jominiapplication.cpp:539]: Processing Tick: 1870.1.3.18
[15:13:23][jominiapplication.cpp:539]: Processing Tick: 1870.1.4
[15:13:23][jominiapplication.cpp:539]: Processing Tick: 1870.1.4.6
[15:13:23][jominiapplication.cpp:539]: Processing Tick: 1870.1.4.12
[15:13:24][jominiapplication.cpp:539]: Processing Tick: 1870.1.4.18
[15:13:24][jominiapplication.cpp:539]: Processing Tick: 1870.1.5
[15:13:25][jominiapplication.cpp:539]: Processing Tick: 1870.1.5.6
[15:13:25][jominiapplication.cpp:539]: Processing Tick: 1870.1.5.12
[15:13:25][jominiapplication.cpp:539]: Processing Tick: 1870.1.5.18
[15:13:25][jominiapplication.cpp:539]: Processing Tick: 1870.1.6
[15:13:26][jominiapplication.cpp:539]: Processing Tick: 1870.1.6.6
[15:13:26][jominiapplication.cpp:539]: Processing Tick: 1870.1.6.12
[15:13:26][jominiapplication.cpp:539]: Processing Tick: 1870.1.6.18
[15:13:26][jominiapplication.cpp:539]: Processing Tick: 1870.1.7
[15:13:27][jominiapplication.cpp:539]: Processing Tick: 1870.1.7.6
[15:13:27][jominiapplication.cpp:539]: Processing Tick: 1870.1.7.12
[15:13:28][jominiapplication.cpp:539]: Processing Tick: 1870.1.7.18
[15:13:28][jominiapplication.cpp:539]: Processing Tick: 1870.1.8
[15:13:29][jominiapplication.cpp:539]: Processing Tick: 1870.1.8.6
[15:13:29][jominiapplication.cpp:539]: Processing Tick: 1870.1.8.12
[15:13:29][jominiapplication.cpp:539]: Processing Tick: 1870.1.8.18
[15:13:29][jominiapplication.cpp:539]: Processing Tick: 1870.1.9
[15:13:30][jominiapplication.cpp:539]: Processing Tick: 1870.1.9.6
[15:13:30][jominiapplication.cpp:539]: Processing Tick: 1870.1.9.12
[15:13:30][jominiapplication.cpp:539]: Processing Tick: 1870.1.9.18
[15:13:30][jominiapplication.cpp:539]: Processing Tick: 1870.1.10
[15:13:31][jominiapplication.cpp:539]: Processing Tick: 1870.1.10.6
[15:13:31][jominiapplication.cpp:539]: Processing Tick: 1870.1.10.12
[15:13:31][jominiapplication.cpp:539]: Processing Tick: 1870.1.10.18
[15:13:31][jominiapplication.cpp:539]: Processing Tick: 1870.1.11
[15:13:32][jominiapplication.cpp:539]: Processing Tick: 1870.1.11.6
[15:13:32][jominiapplication.cpp:539]: Processing Tick: 1870.1.11.12
[15:13:32][jominiapplication.cpp:539]: Processing Tick: 1870.1.11.18
[15:13:33][jominiapplication.cpp:539]: Processing Tick: 1870.1.12
[15:13:33][jominiapplication.cpp:539]: Processing Tick: 1870.1.12.6
[15:13:33][jominiapplication.cpp:539]: Processing Tick: 1870.1.12.12
[15:13:33][jominiapplication.cpp:539]: Processing Tick: 1870.1.12.18
[15:13:34][jominiapplication.cpp:539]: Processing Tick: 1870.1.13
[15:13:34][jominiapplication.cpp:539]: Processing Tick: 1870.1.13.6
[15:13:34][jominiapplication.cpp:539]: Processing Tick: 1870.1.13.12
[15:13:34][jominiapplication.cpp:539]: Processing Tick: 1870.1.13.18
[15:13:35][jominiapplication.cpp:539]: Processing Tick: 1870.1.14
[15:13:36][jominiapplication.cpp:539]: Processing Tick: 1870.1.14.6
[15:13:36][jominiapplication.cpp:539]: Processing Tick: 1870.1.14.12
[15:13:36][jominiapplication.cpp:539]: Processing Tick: 1870.1.14.18
[15:13:37][jominiapplication.cpp:539]: Processing Tick: 1870.1.15
[15:13:37][jominiapplication.cpp:539]: Processing Tick: 1870.1.15.6
[15:13:37][jominiapplication.cpp:539]: Processing Tick: 1870.1.15.12
[15:13:37][jominiapplication.cpp:539]: Processing Tick: 1870.1.15.18
[15:13:38][jominiapplication.cpp:539]: Processing Tick: 1870.1.16
[15:13:38][jominiapplication.cpp:539]: Processing Tick: 1870.1.16.6
[15:13:38][jominiapplication.cpp:539]: Processing Tick: 1870.1.16.12
[15:13:38][jominiapplication.cpp:539]: Processing Tick: 1870.1.16.18
[15:13:39][jominiapplication.cpp:539]: Processing Tick: 1870.1.17
[15:13:40][jominiapplication.cpp:539]: Processing Tick: 1870.1.17.6
[15:13:40][jominiapplication.cpp:539]: Processing Tick: 1870.1.17.12
[15:13:40][jominiapplication.cpp:539]: Processing Tick: 1870.1.17.18
[15:13:40][jominiapplication.cpp:539]: Processing Tick: 1870.1.18
[15:13:40][jominiapplication.cpp:539]: Processing Tick: 1870.1.18.6
[15:13:41][jominiapplication.cpp:539]: Processing Tick: 1870.1.18.12
[15:13:41][jominiapplication.cpp:539]: Processing Tick: 1870.1.18.18
[15:13:41][jominiapplication.cpp:539]: Processing Tick: 1870.1.19
[15:13:41][jominiapplication.cpp:539]: Processing Tick: 1870.1.19.6
[15:13:42][jominiapplication.cpp:539]: Processing Tick: 1870.1.19.12
[15:13:42][jominiapplication.cpp:539]: Processing Tick: 1870.1.19.18
[15:13:42][jominiapplication.cpp:539]: Processing Tick: 1870.1.20
[15:13:43][jominiapplication.cpp:539]: Processing Tick: 1870.1.20.6
[15:13:43][jominiapplication.cpp:539]: Processing Tick: 1870.1.20.12
[15:13:43][jominiapplication.cpp:539]: Processing Tick: 1870.1.20.18
[15:13:43][jominiapplication.cpp:539]: Processing Tick: 1870.1.21
[15:13:44][jominiapplication.cpp:539]: Processing Tick: 1870.1.21.6
[15:13:44][jominiapplication.cpp:539]: Processing Tick: 1870.1.21.12
[15:13:45][jominiapplication.cpp:539]: Processing Tick: 1870.1.21.18
[15:13:45][jominiapplication.cpp:539]: Processing Tick: 1870.1.22
[15:13:45][jominiapplication.cpp:539]: Processing Tick: 1870.1.22.6
[15:13:45][jominiapplication.cpp:539]: Processing Tick: 1870.1.22.12
[15:13:46][jominiapplication.cpp:539]: Processing Tick: 1870.1.22.18
[15:13:46][jominiapplication.cpp:539]: Processing Tick: 1870.1.23
[15:13:47][jominiapplication.cpp:539]: Processing Tick: 1870.1.23.6
[15:13:47][jominiapplication.cpp:539]: Processing Tick: 1870.1.23.12
[15:13:47][jominiapplication.cpp:539]: Processing Tick: 1870.1.23.18
[15:13:48][jominiapplication.cpp:539]: Processing Tick: 1870.1.24
[15:13:48][jominiapplication.cpp:539]: Processing Tick: 1870.1.24.6
[15:13:48][jominiapplication.cpp:539]: Processing Tick: 1870.1.24.12
[15:13:48][jominiapplication.cpp:539]: Processing Tick: 1870.1.24.18
[15:13:49][jominiapplication.cpp:539]: Processing Tick: 1870.1.25
[15:13:49][jominiapplication.cpp:539]: Processing Tick: 1870.1.25.6
[15:13:49][jominiapplication.cpp:539]: Processing Tick: 1870.1.25.12
[15:13:49][jominiapplication.cpp:539]: Processing Tick: 1870.1.25.18
[15:13:50][jominiapplication.cpp:539]: Processing Tick: 1870.1.26
[15:13:50][jominiapplication.cpp:539]: Processing Tick: 1870.1.26.6
[15:13:50][jominiapplication.cpp:539]: Processing Tick: 1870.1.26.12
[15:13:51][jominiapplication.cpp:539]: Processing Tick: 1870.1.26.18
[15:13:51][jominiapplication.cpp:539]: Processing Tick: 1870.1.27
[15:13:51][jominiapplication.cpp:539]: Processing Tick: 1870.1.27.6
[15:13:51][jominiapplication.cpp:539]: Processing Tick: 1870.1.27.12
